CO 0001,2023-04-20,2023,4,20
CO 0002,2022-01-02,2022,1,2
CO 0003,2022-01-03,2022,1,3
CO 0004,2022-01-04,2022,1,4
CO 0005,2022-01-05,2022,1,5
CO 0006,2022-01-06,2022,1,6
CO 0007,2022-01-07,2022,1,7
CO 0008,2022-01-09,2022,1,9
CO 0009,2022-01-10,2022,1,10
CO 0010,2022-01-11,2022,1,11
CO 0011,2022-01-12,2022,1,12
CO 0012,2022-01-13,2022,1,13
CO 0013,2022-01-14,2022,1,14
CO 0014,2022-01-15,2022,1,15
CO 0015,2022-01-16,2022,1,16
CO 0016,2022-01-17,2022,1,17
CO 0017,2022-01-18,2022,1,18
CO 0018,2022-01-19,2022,1,19
CO 0019,2022-01-20,2022,1,20
CO 0020,2022-01-21,2022,1,21
CO 0021,2022-01-22,2022,1,22
CO 0022,2022-01-23,2022,1,23
CO 0023,2022-01-24,2022,1,24
CO 0024,2022-01-25,2022,1,25
CO 0025,2022-01-26,2022,1,26
CO 0026,2022-01-27,2022,1,27
CO 0027,2022-01-28,2022,1,28
CO 0028,2022-01-29,2022,1,29
CO 0029,2022-01-30,2022,1,30
CO 0030,2022-01-31,2022,1,31
CO 0031,2022-02-01,2022,2,1
CO 0032,2022-02-02,2022,2,2
CO 0033,2022-02-03,2022,2,3
CO 0034,2022-02-04,2022,2,4
CO 0035,2022-02-05,2022,2,5
CO 0036,2022-02-06,2022,2,6
CO 0037,2022-02-07,2022,2,7
CO 0038,2022-02-08,2022,2,8
CO 0039,2022-02-09,2022,2,9
CO 0040,2022-02-10,2022,2,10
CO 0041,2022-02-11,2022,2,11
CO 0042,2022-02-12,2022,2,12
CO 0043,2022-02-13,2022,2,13
CO 0044,2022-02-14,2022,2,14
CO 0045,2022-02-15,2022,2,15
CO 0046,2022-02-16,2022,2,16
CO 0047,2022-02-17,2022,2,17
CO 0048,2022-02-18,2022,2,18
CO 0049,2022-02-19,2022,2,19
CO 0050,2022-02-20,2022,2,20
CO 0051,2022-02-21,2022,2,21
CO 0052,2022-02-22,2022,2,22
CO 0053,2022-02-23,2022,2,23
CO 0054,2022-02-24,2022,2,24
CO 0055,2022-02-25,2022,2,25
CO 0056,2022-02-26,2022,2,26
CO 0057,2022-02-27,2022,2,27
CO 0058,2022-02-28,2022,2,28
CO 0059,2022-03-01,2022,3,1
CO 0060,2022-03-02,2022,3,2
CO 0061,2022-03-03,2022,3,3
CO 0062,2022-03-04,2022,3,4
CO 0063,2022-03-05,2022,3,5
CO 0064,2022-03-06,2022,3,6
CO 0065,2022-03-07,2022,3,7
CO 0066,2022-03-08,2022,3,8
CO 0067,2022-03-09,2022,3,9
CO 0068,2022-03-10,2022,3,10
CO 0069,2022-03-11,2022,3,11
CO 0070,2022-03-12,2022,3,12
CO 0071,2022-03-13,2022,3,13
CO 0072,2022-03-14,2022,3,14
CO 0073,2022-03-15,2022,3,15
CO 0074,2022-03-16,2022,3,16
CO 0075,2022-03-17,2022,3,17
CO 0076,2022-03-18,2022,3,18
CO 0077,2022-03-19,2022,3,19
CO 0078,2022-03-20,2022,3,20
CO 0079,2022-03-21,2022,3,21
CO 0080,2022-03-22,2022,3,22
CO 0081,2022-03-23,2022,3,23
CO 0082,2022-03-24,2022,3,24
CO 0083,2022-03-25,2022,3,25
CO 0084,2022-03-26,2022,3,26
CO 0085,2022-03-27,2022,3,27
CO 0086,2022-03-28,2022,3,28
CO 0087,2022-03-29,2022,3,29
CO 0088,2022-03-30,2022,3,30
CO 0089,2022-03-31,2022,3,31
CO 0090,2022-04-01,2022,4,1
CO 0091,2022-04-02,2022,4,2
CO 0092,2022-04-03,2022,4,3
CO 0093,2022-04-04,2022,4,4
CO 0094,2022-04-05,2022,4,5
CO 0095,2022-04-06,2022,4,6
CO 0096,2022-04-07,2022,4,7
CO 0097,2022-04-08,2022,4,8
CO 0098,2022-04-09,2022,4,9
CO 0099,2022-04-10,2022,4,10
CO 0100,2022-04-11,2022,4,11
CO 0101,2022-04-12,2022,4,12
CO 0102,2022-04-13,2022,4,13
CO 0103,2022-04-14,2022,4,14
CO 0104,2022-04-15,2022,4,15
CO 0105,2022-04-16,2022,4,16
CO 0106,2022-04-17,2022,4,17
CO 0107,2022-04-18,2022,4,18
CO 0108,2022-04-19,2022,4,19
CO 0109,2022-04-20,2022,4,20
CO 0110,2022-04-21,2022,4,21
CO 0111,2022-04-22,2022,4,22
CO 0112,2022-04-23,2022,4,23
CO 0113,2022-04-24,2022,4,24
CO 0114,2022-04-25,2022,4,25
CO 0115,2022-04-26,2022,4,26
CO 0116,2022-04-27,2022,4,27
CO 0117,2022-04-28,2022,4,28
CO 0118,2022-04-29,2022,4,29
CO 0119,2022-04-30,2022,4,30
CO 0120,2022-05-01,2022,5,1
CO 0121,2022-05-02,2022,5,2
CO 0122,2022-05-03,2022,5,3
CO 0123,2022-05-04,2022,5,4
CO 0124,2022-05-05,2022,5,5
CO 0125,2022-05-06,2022,5,6
CO 0126,2022-05-07,2022,5,7
CO 0127,2022-05-08,2022,5,8
CO 0128,2022-05-09,2022,5,9
CO 0129,2022-05-10,2022,5,10
CO 0130,2022-05-11,2022,5,11
CO 0131,2022-05-12,2022,5,12
CO 0132,2022-05-13,2022,5,13
CO 0133,2022-05-14,2022,5,14
CO 0134,2022-05-15,2022,5,15
CO 0135,2022-05-16,2022,5,16
CO 0136,2022-05-17,2022,5,17
CO 0137,2022-05-18,2022,5,18
CO 0138,2022-05-19,2022,5,19
CO 0139,2022-05-20,2022,5,20
CO 0140,2022-05-21,2022,5,21
CO 0141,2022-05-22,2022,5,22
CO 0142,2022-05-23,2022,5,23
CO 0143,2022-05-24,2022,5,24
CO 0144,2022-05-25,2022,5,25
CO 0145,2022-05-26,2022,5,26
CO 0146,2022-05-27,2022,5,27
CO 0147,2022-05-28,2022,5,28
CO 0148,2022-05-29,2022,5,29
CO 0149,2022-05-30,2022,5,30
CO 0150,2022-05-31,2022,5,31
CO 0151,2022-06-01,2022,6,1
CO 0152,2022-06-02,2022,6,2
CO 0153,2022-06-03,2022,6,3
CO 0154,2022-06-04,2022,6,4
CO 0155,2022-06-05,2022,6,5
CO 0156,2022-06-06,2022,6,6
CO 0157,2022-06-07,2022,6,7
CO 0158,2022-06-08,2022,6,8
CO 0159,2022-06-09,2022,6,9
CO 0160,2022-06-10,2022,6,10
CO 0161,2022-06-11,2022,6,11
CO 0162,2022-06-12,2022,6,12
CO 0163,2022-06-13,2022,6,13
CO 0164,2022-06-14,2022,6,14
CO 0165,2022-06-15,2022,6,15
CO 0166,2022-06-16,2022,6,16
CO 0167,2022-06-17,2022,6,17
CO 0168,2022-06-18,2022,6,18
CO 0169,2022-06-19,2022,6,19
CO 0170,2022-06-20,2022,6,20
CO 0171,2022-06-21,2022,6,21
CO 0172,2022-06-22,2022,6,22
CO 0173,2022-06-23,2022,6,23
CO 0174,2022-06-24,2022,6,24
CO 0175,2022-06-25,2022,6,25
CO 0176,2022-06-26,2022,6,26
CO 0177,2022-06-27,2022,6,27
CO 0178,2022-06-28,2022,6,28
CO 0179,2022-06-29,2022,6,29
CO 0180,2022-06-30,2022,6,30
CO 0181,2022-07-01,2022,7,1
CO 0182,2022-07-03,2022,7,3
CO 0183,2022-07-04,2022,7,4
CO 0184,2022-07-05,2022,7,5
CO 0185,2022-07-06,2022,7,6
CO 0186,2022-07-07,2022,7,7
CO 0187,2022-07-08,2022,7,8
CO 0188,2022-07-09,2022,7,9
CO 0189,2022-07-10,2022,7,10
CO 0190,2022-07-11,2022,7,11
CO 0191,2022-07-12,2022,7,12
CO 0192,2022-07-13,2022,7,13
CO 0193,2022-07-14,2022,7,14
CO 0194,2022-07-15,2022,7,15
CO 0195,2022-07-16,2022,7,16
CO 0196,2022-07-17,2022,7,17
CO 0197,2022-07-18,2022,7,18
CO 0198,2022-07-19,2022,7,19
CO 0199,2022-07-20,2022,7,20
CO 0200,2022-07-21,2022,7,21
CO 0201,2022-07-22,2022,7,22
CO 0202,2022-07-23,2022,7,23
CO 0203,2022-07-24,2022,7,24
CO 0204,2022-07-25,2022,7,25
CO 0205,2022-07-27,2022,7,27
CO 0206,2022-07-28,2022,7,28
CO 0207,2022-07-29,2022,7,29
CO 0208,2022-07-30,2022,7,30
CO 0209,2022-07-31,2022,7,31
CO 0210,2022-08-01,2022,8,1
CO 0211,2022-08-02,2022,8,2
CO 0212,2022-08-04,2022,8,4
CO 0213,2022-08-05,2022,8,5
CO 0214,2022-08-06,2022,8,6
CO 0215,2022-08-07,2022,8,7
CO 0216,2022-08-08,2022,8,8
CO 0217,2022-08-09,2022,8,9
CO 0218,2022-08-10,2022,8,10
CO 0219,2022-08-11,2022,8,11
CO 0220,2022-08-12,2022,8,12
CO 0221,2022-08-13,2022,8,13
CO 0222,2022-08-14,2022,8,14
CO 0223,2022-08-15,2022,8,15
CO 0224,2022-08-16,2022,8,16
CO 0225,2022-08-17,2022,8,17
CO 0226,2022-08-18,2022,8,18
CO 0227,2022-08-19,2022,8,19
CO 0228,2022-08-20,2022,8,20
CO 0229,2022-08-21,2022,8,21
CO 0230,2022-08-22,2022,8,22
CO 0231,2022-08-23,2022,8,23
CO 0232,2022-08-24,2022,8,24
CO 0233,2022-08-25,2022,8,25
CO 0234,2022-08-26,2022,8,26
CO 0235,2022-08-27,2022,8,27
CO 0236,2022-08-28,2022,8,28
CO 0237,2022-08-30,2022,8,30
CO 0238,2022-08-31,2022,8,31
CO 0239,2022-09-01,2022,9,1
CO 0240,2022-09-02,2022,9,2
CO 0241,2022-09-03,2022,9,3
CO 0242,2022-09-04,2022,9,4
CO 0243,2022-09-05,2022,9,5
CO 0244,2022-09-06,2022,9,6
CO 0245,2022-09-07,2022,9,7
CO 0246,2022-09-08,2022,9,8
CO 0247,2022-09-09,2022,9,9
CO 0248,2022-09-10,2022,9,10
CO 0249,2022-09-11,2022,9,11
CO 0250,2022-09-12,2022,9,12
CO 0251,2022-09-13,2022,9,13
CO 0252,2022-09-14,2022,9,14
CO 0253,2022-09-15,2022,9,15
CO 0254,2022-09-16,2022,9,16
CO 0255,2022-09-17,2022,9,17
CO 0256,2022-09-18,2022,9,18
CO 0257,2022-09-19,2022,9,19
CO 0258,2022-09-20,2022,9,20
CO 0259,2022-09-21,2022,9,21
CO 0260,2022-09-22,2022,9,22
CO 0261,2022-09-23,2022,9,23
CO 0262,2022-09-24,2022,9,24
CO 0263,2022-09-25,2022,9,25
CO 0264,2022-09-26,2022,9,26
CO 0265,2022-09-27,2022,9,27
CO 0266,2022-09-28,2022,9,28
CO 0267,2022-09-29,2022,9,29
CO 0268,2022-09-30,2022,9,30
CO 0269,2022-10-01,2022,10,1
CO 0270,2022-10-02,2022,10,2
CO 0271,2022-10-03,2022,10,3
CO 0272,2022-10-04,2022,10,4
CO 0273,2022-10-05,2022,10,5
CO 0274,2022-10-06,2022,10,6
CO 0275,2022-10-07,2022,10,7
CO 0276,2022-10-08,2022,10,8
CO 0277,2022-10-09,2022,10,9
CO 0278,2022-10-10,2022,10,10
CO 0279,2022-10-11,2022,10,11
CO 0280,2022-10-12,2022,10,12
CO 0281,2022-10-13,2022,10,13
CO 0282,2022-10-14,2022,10,14
CO 0283,2022-10-15,2022,10,15
CO 0284,2022-10-16,2022,10,16
CO 0285,2022-10-17,2022,10,17
CO 0286,2022-10-18,2022,10,18
CO 0287,2022-10-19,2022,10,19
CO 0288,2022-10-20,2022,10,20
CO 0289,2022-10-21,2022,10,21
CO 0290,2022-10-22,2022,10,22
CO 0291,2022-10-23,2022,10,23
CO 0292,2022-10-24,2022,10,24
CO 0293,2022-10-25,2022,10,25
CO 0294,2022-10-26,2022,10,26
CO 0295,2022-10-27,2022,10,27
CO 0296,2022-10-28,2022,10,28
CO 0297,2022-10-29,2022,10,29
CO 0298,2022-10-30,2022,10,30
CO 0299,2022-10-31,2022,10,31
CO 0300,2022-11-01,2022,11,1
CO 0301,2022-11-02,2022,11,2
CO 0302,2022-11-03,2022,11,3
CO 0303,2022-11-04,2022,11,4
CO 0304,2022-11-05,2022,11,5
CO 0305,2022-11-06,2022,11,6
CO 0306,2022-11-07,2022,11,7
CO 0307,2022-11-08,2022,11,8
CO 0308,2022-11-09,2022,11,9
CO 0309,2022-11-10,2022,11,10
CO 0310,2022-11-11,2022,11,11
CO 0311,2022-11-12,2022,11,12
CO 0312,2022-11-13,2022,11,13
CO 0313,2022-11-14,2022,11,14
CO 0314,2022-11-15,2022,11,15
CO 0315,2022-11-16,2022,11,16
CO 0316,2022-11-17,2022,11,17
CO 0317,2022-11-18,2022,11,18
CO 0318,2022-11-19,2022,11,19
CO 0319,2022-11-20,2022,11,20
CO 0320,2022-11-21,2022,11,21
CO 0321,2022-11-22,2022,11,22
CO 0322,2022-11-23,2022,11,23
CO 0323,2022-11-24,2022,11,24
CO 0324,2022-11-25,2022,11,25
CO 0325,2022-11-26,2022,11,26
CO 0326,2022-11-27,2022,11,27
CO 0327,2022-11-28,2022,11,28
CO 0328,2022-11-29,2022,11,29
CO 0329,2022-11-30,2022,11,30
CO 0330,2022-12-01,2022,12,1
CO 0331,2022-12-02,2022,12,2
CO 0332,2022-12-03,2022,12,3
CO 0333,2022-12-04,2022,12,4
CO 0334,2022-12-05,2022,12,5
CO 0335,2022-12-06,2022,12,6
CO 0336,2022-12-07,2022,12,7
CO 0337,2022-12-08,2022,12,8
CO 0338,2022-12-09,2022,12,9
CO 0339,2022-12-10,2022,12,10
CO 0340,2022-12-11,2022,12,11
CO 0341,2022-12-12,2022,12,12
