RES000001,18:35:15,8,1186000,9488000,CUS 1939,KMR 003,MP 06,ST 003,LOK 009,CI 0459,CO 0001
RES000002,18:49:41,7,632000,4424000,CUS 2945,KMR 001,MP 01,ST 003,LOK 012,CI 0667,CO 0674
RES000003,10:31:16,4,1293000,5172000,CUS 1726,KMR 003,MP 02,ST 004,LOK 012,CI 0836,CO 0843
RES000004,11:02:33,2,318000,636000,CUS 2841,KMR 002,MP 03,ST 003,LOK 011,CI 0477,CO 0481
RES000005,05:18:43,7,1095000,7665000,CUS 2767,KMR 003,MP 06,ST 004,LOK 005,CI 0044,CO 0051
RES000006,11:28:12,2,448000,896000,CUS 0295,KMR 004,MP 06,ST 004,LOK 004,CI 0335,CO 0336
RES000007,02:42:55,9,614000,5526000,CUS 1934,KMR 001,MP 04,ST 003,LOK 005,CI 0286,CO 0293
RES000008,18:58:50,9,582000,5238000,CUS 1262,KMR 001,MP 03,ST 004,LOK 005,CI 0194,CO 0204
RES000009,11:55:42,6,657000,3942000,CUS 1681,KMR 001,MP 02,ST 004,LOK 002,CI 0037,CO 0043
RES000010,15:21:44,9,1251000,11259000,CUS 2936,KMR 003,MP 03,ST 004,LOK 002,CI 0896,CO 0906
RES000011,22:08:54,6,663000,3978000,CUS 1980,KMR 001,MP 06,ST 003,LOK 008,CI 0173,CO 0181
RES000012,10:34:56,6,567000,3402000,CUS 0836,KMR 001,MP 05,ST 002,LOK 001,CI 0742,CO 0751
RES000013,10:05:48,5,333000,1665000,CUS 2296,KMR 002,MP 03,ST 003,LOK 002,CI 0762,CO 0769
RES000014,18:46:29,2,355000,710000,CUS 1220,KMR 002,MP 02,ST 003,LOK 017,CI 0585,CO 0588
RES000015,01:15:01,4,487000,1948000,CUS 1724,KMR 004,MP 06,ST 004,LOK 012,CI 0131,CO 0135
RES000016,05:01:23,6,576000,3456000,CUS 0443,KMR 001,MP 05,ST 001,LOK 020,CI 0590,CO 0596
RES000017,18:45:32,9,415000,3735000,CUS 0924,KMR 004,MP 02,ST 003,LOK 008,CI 0513,CO 0523
RES000018,18:26:17,1,441000,441000,CUS 3740,KMR 004,MP 02,ST 003,LOK 018,CI 0363,CO 0363
RES000019,04:34:25,4,592000,2368000,CUS 1127,KMR 001,MP 01,ST 003,LOK 003,CI 0699,CO 0705
RES000020,14:46:06,8,620000,4960000,CUS 0665,KMR 001,MP 01,ST 004,LOK 017,CI 0963,CO 0974
